student_id,full_name,email,phone,age,grade,city,school,enrolled_course,join_date,last_active,xp_points,lessons_completed,streak_days,quizzes_attempted,quiz_avg_score,badge,island_level,subscription_plan,referral_code
LK0001,Advait Tiwari,advait.tiwari61@gmail.com,9789727405,12,6th,Kolkata,Delhi Public School,MERN Stack Basics - Batch 8,2025-02-20,2025-06-07,1588,25,14,5,66.0,Coder,9,Basic,LKAD8468
LK0002,Krishna Bajaj,krishna.bajaj15@gmail.com,9627780260,14,8th,Bhopal,Amity International School,MERN Stack Basics - Batch 8,2024-11-24,2025-05-30,232,23,5,27,80.4,Beginner,4,Pro,LKKR4269
LK0003,Avni Malhotra,avni.malhotra29@gmail.com,9448750068,14,8th,Chandigarh,Delhi Public School,MERN Stack Basics - Batch 8,2025-05-05,2025-03-22,706,60,37,23,84.7,Innovator,3,Free,LKAV1914
LK0004,Vikram Choudhary,vikram.choudhary22@gmail.com,9524605553,13,6th,Ahmedabad,Bal Bharati Public School,MERN Stack Basics - Batch 7,2024-06-14,2025-04-30,695,67,104,21,84.0,Explorer,6,Free,LKVI3701
LK0005,Arnav Bhatia,arnav.bhatia42@gmail.com,9697310884,13,7th,Indore,Springdales School,MERN Stack Basics - Batch 6,2024-06-26,2025-02-03,4116,29,17,32,65.3,Coder,3,Free,LKAR2948
LK0006,Riya Kumar,riya.kumar27@gmail.com,9243420960,14,6th,Hyderabad,Modern School,MERN Stack Basics - Batch 8,2025-05-24,2025-01-16,1993,37,9,15,54.4,Coder,2,Pro,LKRI5751
LK0007,Ruchika Rastogi,ruchika.rastogi23@gmail.com,9614978408,13,7th,Kolkata,Ryan International School,MERN Stack Basics - Batch 7,2025-04-25,2025-06-01,3945,26,8,30,59.2,Coder,4,Free,LKRU4227
LK0008,Tanvi Kumar,tanvi.kumar34@gmail.com,9768161508,13,7th,Bangalore,Kendriya Vidyalaya,MERN Stack Basics - Batch 8,2024-01-27,2025-01-02,2781,23,72,25,72.4,Coder,3,Pro,LKTA7517
LK0009,Govind Iyer,govind.iyer56@gmail.com,9277578208,14,7th,Lucknow,Ryan International School,MERN Stack Basics - Batch 8,2024-07-20,2025-06-15,3115,66,109,17,66.7,Beginner,6,Basic,LKGO5343
LK0010,Harshit Mishra,harshit.mishra68@gmail.com,9449191192,14,8th,Delhi,The Shri Ram School,MERN Stack Basics - Batch 8,2024-02-09,2025-03-08,2432,80,65,22,41.5,Explorer,6,Basic,LKHA3098
LK0011,Vedant Pandey,vedant.pandey86@gmail.com,9680594748,14,8th,Kolkata,Delhi Public School,MERN Stack Basics - Batch 8,2024-08-23,2025-03-19,4004,33,111,20,47.3,Beginner,8,Basic,LKVE7001
LK0012,Lakshay Mehta,lakshay.mehta46@gmail.com,9618683402,12,8th,Bhopal,Springdales School,MERN Stack Basics - Batch 6,2024-08-25,2025-03-26,3962,50,24,43,74.3,Builder,8,Basic,LKLA3630
LK0013,Navya Gupta,navya.gupta75@gmail.com,9282830609,12,8th,Indore,DAV Public School,MERN Stack Basics - Batch 7,2024-02-01,2025-04-03,4069,8,70,45,78.2,Coder,4,Basic,LKNA6196
LK0014,Aarav Kapoor,aarav.kapoor99@gmail.com,9857428897,11,7th,Bangalore,The Shri Ram School,MERN Stack Basics - Batch 8,2024-01-22,2025-01-25,3964,61,92,29,61.4,Explorer,1,Basic,LKAA8820
LK0015,Atharv Verma,atharv.verma18@gmail.com,9547495121,14,8th,Hyderabad,Modern School,MERN Stack Basics - Batch 7,2025-05-19,2025-01-08,1411,28,113,44,46.2,Coder,3,Basic,LKAT1945
LK0016,Lakshay Srivastava,lakshay.srivastava29@gmail.com,9163413348,13,7th,Indore,DAV Public School,MERN Stack Basics - Batch 8,2024-04-17,2025-05-19,4877,16,68,14,37.2,Coder,9,Basic,LKLA9819
LK0017,Navya Kapoor,navya.kapoor24@gmail.com,9705462889,11,8th,Pune,DAV Public School,MERN Stack Basics - Batch 7,2024-05-04,2025-06-01,3887,32,116,42,87.8,Coder,8,Free,LKNA3813
LK0018,Sai Reddy,sai.reddy43@gmail.com,9758467345,13,7th,Chennai,The Shri Ram School,MERN Stack Basics - Batch 6,2024-01-12,2025-03-02,1917,62,93,20,56.0,Builder,5,Free,LKSA1770
LK0019,Nikhil Iyer,nikhil.iyer22@gmail.com,9367808389,11,7th,Kolkata,Bal Bharati Public School,MERN Stack Basics - Batch 7,2024-09-25,2025-04-26,629,30,44,27,51.5,Explorer,9,Free,LKNI8041
LK0020,Varun Yadav,varun.yadav47@gmail.com,9358792217,12,6th,Gurugram,DAV Public School,MERN Stack Basics - Batch 6,2024-09-01,2025-01-16,3822,52,97,48,86.8,Innovator,4,Basic,LKVA6864
LK0021,Rahul Kumar,rahul.kumar44@gmail.com,9285956164,13,6th,Ahmedabad,Amity International School,MERN Stack Basics - Batch 6,2024-11-09,2025-02-19,1437,73,76,15,93.7,Champion,7,Basic,LKRA2474
LK0022,Tanvi Yadav,tanvi.yadav81@gmail.com,9324271537,13,7th,Mumbai,The Shri Ram School,MERN Stack Basics - Batch 6,2024-03-19,2025-01-10,4977,45,91,6,48.0,Champion,2,Free,LKTA5380
LK0023,Sai Verma,sai.verma56@gmail.com,9915972963,12,7th,Delhi,Delhi Public School,MERN Stack Basics - Batch 6,2025-05-30,2025-03-11,2555,3,37,48,59.0,Coder,1,Basic,LKSA1226
LK0024,Rajan Srivastava,rajan.srivastava77@gmail.com,9315601367,14,8th,Bhopal,The Shri Ram School,MERN Stack Basics - Batch 7,2025-02-15,2025-05-17,2855,63,16,5,75.4,Champion,1,Free,LKRA7991
LK0025,Harshit Mehta,harshit.mehta42@gmail.com,9904462659,12,6th,Pune,Modern School,MERN Stack Basics - Batch 6,2024-03-09,2025-06-21,2236,68,42,45,44.0,Champion,7,Free,LKHA4073
LK0026,Aryan Gupta,aryan.gupta23@gmail.com,9933327787,12,8th,Chandigarh,Ryan International School,MERN Stack Basics - Batch 8,2025-05-25,2025-05-27,3384,48,79,39,42.6,Explorer,3,Basic,LKAR3249
LK0027,Muskan Rastogi,muskan.rastogi93@gmail.com,9440930394,12,8th,Chandigarh,Springdales School,MERN Stack Basics - Batch 7,2024-04-03,2025-05-12,2079,72,30,20,39.1,Champion,8,Basic,LKMU9687
LK0028,Darsh Pandey,darsh.pandey92@gmail.com,9184141984,12,8th,Mumbai,Springdales School,MERN Stack Basics - Batch 7,2024-06-05,2025-03-05,2557,14,25,14,90.0,Explorer,7,Free,LKDA5319
